,Month,Year,County,Temp_Celsius,Temp_Levels
0,1,2010,Amador,7.165549118773946,Moderate
1,1,2010,Butte,8.274798223593963,Moderate
2,1,2010,Calaveras,8.40277775985663,Moderate
3,1,2010,Colusa,8.612429851851854,Moderate
4,1,2010,Del Norte,9.581839910394267,Moderate
5,1,2010,El Dorado,4.159083649425288,Moderate
6,1,2010,Fresno,8.926690198412699,Moderate
7,1,2010,Glenn,8.540070249042147,Moderate
8,1,2010,Imperial,14.496542390390394,Moderate
9,1,2010,Inyo,5.043231393786737,Moderate
10,1,2010,Kern,9.300714342694338,Moderate
11,1,2010,Kings,8.437126666666666,Moderate
12,1,2010,Lake,6.402597439393943,Moderate
13,1,2010,Los Angeles,12.876204395313685,Moderate
14,1,2010,Madera,8.650686971326163,Moderate
15,1,2010,Marin,9.989225949820788,Moderate
16,1,2010,Mariposa,4.006029296296296,Moderate
17,1,2010,Merced,8.455459789272032,Moderate
18,1,2010,Mono,-2.663620230961299,Low_Temp
19,1,2010,Monterey,10.66107042735043,Moderate
20,1,2010,Orange,13.863843369763206,Moderate
21,1,2010,Placer,9.114164037037035,Moderate
22,1,2010,Riverside,12.439003375365498,Moderate
23,1,2010,Sacramento,9.872697336507933,Moderate
24,1,2010,San Benito,9.340163934426227,Moderate
25,1,2010,San Bernardino,9.366092339671894,Moderate
26,1,2010,San Diego,13.440818063427804,Moderate
27,1,2010,San Joaquin,8.791839678362575,Moderate
28,1,2010,San Luis Obispo,9.963648592938734,Moderate
29,1,2010,Santa Barbara,12.337034315302143,Moderate
30,1,2010,Santa Cruz,10.643943742690059,Moderate
31,1,2010,Shasta,0.5590472222222226,Moderate
32,1,2010,Stanislaus,9.425730476190477,Moderate
33,1,2010,Sutter,10.265006398467433,Moderate
34,1,2010,Tulare,7.2576453168044095,Moderate
35,1,2010,Tuolumne,7.569444444444445,Moderate
36,1,2010,Ventura,13.145491715116284,Moderate
37,1,2010,Yolo,8.780588591269844,Moderate
38,1,2011,Amador,6.05241396825397,Moderate
39,1,2011,Butte,7.847925989278753,Moderate
40,1,2011,Calaveras,6.1772486507936515,Moderate
41,1,2011,Colusa,7.445690918803416,Moderate
42,1,2011,Del Norte,7.8741612592592585,Moderate
43,1,2011,El Dorado,4.143518521657251,Moderate
44,1,2011,Fresno,7.5430504703703685,Moderate
45,1,2011,Glenn,7.595164650205761,Moderate
46,1,2011,Humboldt,6.835305770609319,Moderate
47,1,2011,Imperial,14.183878670309664,Moderate
48,1,2011,Inyo,5.802523100233101,Moderate
49,1,2011,Kern,7.825130599778879,Moderate
50,1,2011,Kings,7.164982394636014,Moderate
51,1,2011,Lake,6.088709677419354,Moderate
52,1,2011,Los Angeles,13.056761706093187,Moderate
53,1,2011,Madera,7.273602592592594,Moderate
54,1,2011,Marin,9.827541469534049,Moderate
55,1,2011,Mariposa,4.607126353046596,Moderate
56,1,2011,Merced,6.62201424074074,Moderate
57,1,2011,Mono,-2.957205555555556,Low_Temp
58,1,2011,Monterey,10.43917777777778,Moderate
59,1,2011,Placer,7.871990324074075,Moderate
60,1,2011,Riverside,12.911852499999997,Moderate
61,1,2011,Sacramento,8.100748822975522,Moderate
62,1,2011,San Benito,9.351309590163936,Moderate
63,1,2011,San Bernardino,8.162786480429292,Moderate
64,1,2011,San Diego,13.613657325268822,Moderate
65,1,2011,San Joaquin,7.279699594771239,Moderate
66,1,2011,San Luis Obispo,9.721611229200215,Moderate
67,1,2011,Santa Barbara,12.68147378876679,Moderate
68,1,2011,Santa Clara,10.178016729390682,Moderate
69,1,2011,Santa Cruz,10.331413490740742,Moderate
70,1,2011,Shasta,1.3160842114695341,Moderate
71,1,2011,Stanislaus,7.605709833333335,Moderate
72,1,2011,Sutter,8.07253087037037,Moderate
73,1,2011,Tulare,6.633591787603932,Moderate
74,1,2011,Tuolumne,5.977623499999999,Moderate
75,1,2011,Ventura,13.60878656589147,Moderate
76,1,2011,Yolo,9.009773662551439,Moderate
77,1,2012,Amador,5.750000000000002,Moderate
78,1,2012,Butte,8.90955104463438,Moderate
79,1,2012,Calaveras,7.104938240740742,Moderate
80,1,2012,Colusa,8.31497775985663,Moderate
81,1,2012,Del Norte,7.738996222222223,Moderate
82,1,2012,El Dorado,5.5476459865900365,Moderate
83,1,2012,Fresno,8.883678670138886,Moderate
84,1,2012,Glenn,8.50059741935484,Moderate
85,1,2012,Humboldt,5.984847499999999,Moderate
86,1,2012,Imperial,14.579503754480282,Moderate
87,1,2012,Inyo,6.761187099875161,Moderate
88,1,2012,Kern,9.821605531135537,Moderate
89,1,2012,Kings,8.532875842293906,Moderate
90,1,2012,Lake,5.70781450670498,Moderate
91,1,2012,Los Angeles,13.618382404911646,Moderate
92,1,2012,Madera,8.503145008960573,Moderate
93,1,2012,Marin,9.951989043209878,Moderate
94,1,2012,Mariposa,6.607638916666668,Moderate
95,1,2012,Merced,8.094222365591397,Moderate
96,1,2012,Mono,0.8056735536398466,Moderate
97,1,2012,Monterey,9.7708078998779,Moderate
98,1,2012,Orange,14.409091801075261,Moderate
99,1,2012,Placer,9.965651164874552,Moderate
100,1,2012,Riverside,13.834076224806212,Moderate
101,1,2012,Sacramento,9.070827326839826,Moderate
102,1,2012,San Benito,8.869212972222224,Moderate
103,1,2012,San Bernardino,10.345232638888879,Moderate
104,1,2012,San Diego,13.659459194781828,Moderate
105,1,2012,San Joaquin,9.070785191158897,Moderate
106,1,2012,San Luis Obispo,9.558094640211639,Moderate
107,1,2012,Santa Barbara,12.503941098874202,Moderate
108,1,2012,Santa Clara,10.02291901433692,Moderate
109,1,2012,Santa Cruz,9.301075268817206,Moderate
110,1,2012,Shasta,0.6641123946360152,Moderate
111,1,2012,Stanislaus,8.620688503584232,Moderate
112,1,2012,Sutter,9.496001685185183,Moderate
113,1,2012,Tulare,8.61660317616959,Moderate
114,1,2012,Tuolumne,7.296296296296296,Moderate
115,1,2012,Ventura,14.411323106332137,Moderate
116,1,2012,Yolo,8.268070501792115,Moderate
117,1,2013,Butte,7.29302830882353,Moderate
118,1,2013,Calaveras,5.605240166666666,Moderate
119,1,2013,Del Norte,5.949074086021505,Moderate
120,1,2013,El Dorado,2.5358796388888885,Moderate
121,1,2013,Fresno,7.159758765096619,Moderate
122,1,2013,Glenn,6.70922940860215,Moderate
123,1,2013,Humboldt,4.874551971326165,Moderate
124,1,2013,Imperial,11.82897526998962,Moderate
