County Names,2011,2012,2013,2014,2015,2016,FIPS
Alameda,70.9173913,79.17391304,81.72173913,128.5,132.3583333,79.7,6001
Amador,78.48333333,87.5,84.68461538,66.72857143,63.03333333,71.02,6005
Butte,72.73333333,70.56315789,70.825,80.825,89.03,68.96111111,6007
Calaveras,66.50833333,45.26666667,60.88461538,61.60714286,48.04,50.42727273,6009
Colusa,38.97857143,39.08571429,52.925,46.17857143,48.16,32.01538462,6011
Contra Costa,93.23478261,95.36086957,85.09545455,87.11304348,84.14090909,78.37727273,6013
Del Norte,83.3375,84.74666667,63.77142857,64.83333333,61.64285714,85.97857143,6015
El Dorado,38.44375,72.52941176,39.5625,52.55,43.10588235,39.20588235,6017
Fresno,81.35217391,92.13333333,89.59047619,83.34545455,95.05714286,88.59090909,6019
Glenn,48.68571429,39.4,44.44285714,44.94666667,43.76,39.17333333,6021
Humboldt,83.21428571,91.4,97.145,98.15,85.425,116.4571429,6023
Imperial,91.53529412,125.0388889,100.35,95.05625,93.45,93.86111111,6025
Inyo,64.40714286,61.05,62.86666667,69.0625,58.58571429,68.1,6027
Kern,70.67142857,83.83333333,80.88095238,83.65238095,81.83333333,75.14285714,6029
Kings,115.7055556,127.6777778,113.8277778,111.2736842,114.0222222,89.84210526,6031
Lake,133.7588235,108.4352941,95.06111111,102.5578947,97.19411765,96.12777778,6033
Lassen,42.11818182,39.925,45.375,46.07692308,55.2,52.375,6035
Los Angeles,62.30416667,64.81666667,64.70416667,66.77083333,65.40869565,66.0375,6037
Madera,112.5,122.6555556,91.01666667,94.94444444,103.1944444,138.5277778,6039
Marin,49.32,48.24761905,44.49,51.04,35.46,39.875,6041
Mariposa,51.95454545,47.01818182,46.91,42.55454545,54.01,57.53,6043
Mendocino,116.3263158,83.86315789,63.91666667,101.3210526,71.92941176,59.74705882,6045
Merced,118.945,129.5238095,127.1047619,129.1263158,126.08,115.552381,6047
Modoc,61.05,68.13333333,57.35,80.6,76.8,88.88,6049
Mono,15.96666667,17.86,29.01,30.5375,32.30909091,31.22857143,6051
Monterey,61.43333333,61.995,69.47,63.33809524,71.46190476,59.67619048,6053
Napa,44.19444444,50.41052632,47.49473684,60.65263158,48.7,41.96315789,6055
Nevada,51.67857143,46.18,77.02666667,42.38571429,41.57142857,33.70714286,6057
Orange,44.15454545,50.28571429,46.73636364,49.52727273,48.92727273,47.62380952,6059
Placer,37.87,40.35238095,43.61428571,46.62857143,45.07619048,49.94761905,6061
Plumas,63.36666667,61.93,65.04166667,50.125,78.46428571,155.6076923,6063
Riverside,53.87391304,55.3826087,53.07272727,53.50833333,54.8125,57.3,6065
Sacramento,72.9173913,77.59130435,77.58695652,82.475,84.15,76.6625,6067
San Benito,65.5,49.65333333,64.6,61.22142857,56.96,57,6069
San Bernardino,71.43043478,77.74347826,72.09130435,69.05217391,73.95,86.35416667,6071
San Diego,49.86956522,53,49.6826087,57.24347826,47.46086957,42.35217391,6073
San Francisco,70.11363636,74.54782609,69.76818182,68.79047619,67.1952381,79.74347826,6075
San Joaquin,77.5,79.87619048,82.42608696,82.63636364,84.17826087,81.37142857,6077
San Luis Obispo,51.55294118,43.92941176,39.34117647,45.07058824,48.70588235,43.66666667,6079
San Mateo,49.73809524,57.94782609,44.51904762,43.6,42.92380952,45.78095238,6081
Santa Barbara,47.08421053,60.37894737,58.18095238,65.53,60.13333333,58.27142857,6083
Santa Clara,46.54285714,45.17619048,42.57142857,42.98095238,46.69047619,43.51904762,6085
Santa Cruz,46.92777778,46.82352941,52.45789474,58.13529412,44.09411765,40.2375,6087
Shasta,85.04444444,71.23157895,88.12105263,82.1,63.97619048,62.79473684,6089
Sierra,108.7166667,,92.45,39,40.3,24.6,6091
Siskiyou,39.1,70.95384615,45.38461538,74.39285714,45.56428571,38.49090909,6093
Solano,94.95,97.86666667,91.34090909,100.8047619,97.34545455,97.91363636,6095
Sonoma,69.4,63.11818182,57.20454545,65.69130435,53.75454545,58.38636364,6097
Stanislaus,81.3047619,86.81904762,95.93809524,98.06666667,92.95714286,79.16666667,6099
Sutter,35.20526316,28.37058824,40.13157895,51.9,39.92777778,50.65789474,6101
Tehama,56.29333333,57.35,49.68,63.94,61.86,59.97333333,6103
Trinity,50.68,70.9875,44.87142857,75.35555556,65.48571429,54,6105
Tulare,67.895,67.115,70.40952381,62.03181818,60.84090909,59.4047619,6107
Tuolumne,55.03846154,60.2,58.49230769,52.31428571,52.25,48.02857143,6109
Ventura,51.0952381,49.82380952,50.94285714,55.54761905,55.76666667,47.66190476,6111
Yolo,42.46842105,63.17,47.72380952,63.91,57.42380952,59.415,6113
Yuba,48.76470588,48.15882353,56.88333333,57.54375,54.27777778,63.525,6115
